Name,Hash,Description
NWBLKSMT.M,0x9596,
DUNGEON2.M,0xD97F,
SF17.M,0x4995,
ENDGAME.PAL,0x80E8,
DISK.END,0x8476,
DISKA.END,0x4A58,
DISKB.END,0x4A68,
DISKC.END,0x4A78,
DISKD.END,0x4A88,
DISKE.END,0x4A98,
FACE.END,0x8215,
SC03A.END,0x5092,
SC03B.END,0x50A2,
SC03C.END,0x50B2,
SC06A.END,0xB092,
SC06B.END,0xB0A2,
SC07A.END,0xD092,
SC07B.END,0xD0A2,
SC07C.END,0xD0B2,
SC07D.END,0xD0C2,
SC07E.END,0xD0D2,
SC07F.END,0xD0E2,
SC07G.END,0xD0F2,
SC07H.END,0xD102,
SC08.END,0xA1C9,
SC09.END,0xA1D9,
SC10.END,0xC149,
SC11.END,0xC159,
SC13.END,0xC179,
SC14.END,0xC189,
SC15.END,0xC199,
SC16.END,0xC1A9,
SC17XA.END,0xE2F3,
SC17XB.END,0xE303,
SC18A.END,0xF0D2,
SC18B.END,0xF0E2,
SC18C.END,0xF0F2,
SC18D.END,0xF102,
SC18E.END,0xF112,
SC19.END,0xC1D9,
SC20.END,0xE149,
SC21.END,0xE159,
SC22.END,0xE169,
SC23A.END,0x5112,
SC23B.END,0x5122,
SC24A.END,0x7112,
SC24B.END,0x7122,
SC25A.END,0x9112,
SC25B.END,0x9122,
SC26A.END,0xB112,
SC26B.END,0xB122,
SC26C.END,0xB132,
SC26D.END,0xB142,
SC27.END,0xE1B9,
SCA28.END,0x3442,
SCB28.END,0x3482,
SCC28.END,0x34C2,
SCD28.END,0x3502,
SCE28.END,0x3542,
SCF28.END,0x3582,
SCG28.END,0x35C2,
SCH28.END,0x3602,
SCI28.END,0x3642,
SCJ28.END,0x3682,
SCK28.END,0x36C2,
SC29A.END,0x1113,
SC29B.END,0x1123,
SC29C.END,0x1133,
SC29D.END,0x1143,
SC29E.END,0x1153,
SC29F.END,0x1163,
MAINBACK.RAW,0xBDB5,
SC050001.RAW,0x46C8,
SC070001.RAW,0x48C8,
SC090001.RAW,0x4AC8,
SC170001.RAW,0x48CA,
SC180001.RAW,0x49CA,
SC190001.RAW,0x4ACA,
SC230001.RAW,0x44CC,
SC250001.RAW,0x46CC,
SC260001.RAW,0x47CC,
SC270001.RAW,0x48CC,
SCENE1.RAW,0x6E02,
SCENE2-B.RAW,0x818C,
SCENE4.RAW,0x6E32,
SCENE4-1.RAW,0x80FC,
BLANK.RAW,0x0AC1,
SC290001.RAW,0x4ACC,
SCENE12.RAW,0xB9B5,
SPECIAL.BIN,0x4C23,
BOX.VGA,0xF5A4,
TITLE2.INT,0x0D75,
DREAMS2.VOC,0x5BCD,
CORAK2.VOC,0xD2B5,
YES1.VOC,0x0424,
NOWRE1.VOC,0x96FD,
NORDO2.VOC,0x538C,
READY2.VOC,0x098D,
FIGHT2.VOC,0x6E77,
FAIL1.VOC,0x6B17,
ADMIT2.VOC,0x69B0,
IDO2.VOC,0x83EB,
WHAT3.VOC,0xFA3B,
SKYMAIN.PAL,0x4E75,
WHOOSH.VOC,0x50BD,
CLICK.VOC,0xC9BB,
EXPLOSIO.VOC,0x7847,
WINDSTOR.VOC,0xF545,
GASCOMPR.VOC,0xF20D,
CAST.VOC,0x0549,
PADSPELL.VOC,0xFFD7,
RUMBLE.VOC,0x7A41,
,0xC790,Unknown VOC File
TABLMAIN.RAW,0xFC15,
FOURA.RAW,0x1323,
EG250001.PAL,0x5649,
EG100001.RAW,0x515A,
EG140001.RAW,0x555A,
EG250001.RAW,0x565C,
EG270001.RAW,0x585C,
EG23PRT2.RAW,0xDD00,
SKYMAIN.RAW,0x4E88,
TWRSKY1.RAW,0x4C55,
DOOR.VOC,0x08A9,
CUBE.EG2,0xD901,
HANDS.EG2,0x6021,
SC02.EG2,0x9357,
SC06.EG2,0x9397,
SC10.EG2,0xB337,
SC13.EG2,0xB367,
SC14.EG2,0xB377,
SC17.EG2,0xB3A7,
SC20A.EG2,0xE2FF,
SC20B.EG2,0xE30F,
SC20C.EG2,0xE31F,
SC20D.EG2,0xE32F,
SC22A.EG2,0x2300,
SC22B.EG2,0x2310,
SC23A.EG2,0x4300,
SC23B.EG2,0x4310,
SC23C.EG2,0x4320,
SC23D.EG2,0x4330,
SC23E.EG2,0x4340,
SC23F.EG2,0x4350,
SC23G.EG2,0x4360,
SC23H.EG2,0x4370,
SC24.EG2,0xD377,
SC3A.EG2,0xF447,
SC3B1.EG2,0x2242,
SC3B2.EG2,0x2252,
STAFF.EG2,0x271B,
TOWER1.EG2,0x2376,
TOWER2.EG2,0x2386,
SC25.EG2,0xD387,
SC261A.EG2,0x749D,
SC261B.EG2,0x74AD,
SC262.EG2,0xA210,
SC263.EG2,0xA220,
SC264.EG2,0xA230,
SC27.EG2,0xD3A7,
